CM INES LA (CRUZ DEL ROQUE)	Camino/Carmen Ines la (Cruz del Roque)
CM MORRA VISTA (FASNIA)	Camino/Carmen Morra Vista (Fasnia)
CM LOS CHARCOS (RESTO)	Camino/Carmen los Charcos (Resto)
CR GENERAL DEL SUR (FASNIA)	Carretera General del Sur
CR GENERAL DEL SUR (ZARZA) (ZARZA LA)	Carretera General del Sur
CR ZARZA (ZARZA LA)	Carretera La Zarza
CR ROQUES (FASNIA)	Carretera los Roques
CS CASAS DEL CAMINO REAL	Caserío Casas del Camino Real
CL LOMO TOSE (FASNIA)	Lomo la Tose
MC ABASTOS (RESTO)	Mercado Abastos (Resto)
CL HILARIO MARRERO (ERAS LAS)	Plaza Hilario Marrero
PZ CONSTITUCION (FASNIA)	Plaza de la Constitución
PR SITIO EL (RESTO)	Prolongación/Continuación Sitio el (Resto)
UR P.P. LA HONDURA (ERAS LAS)	Urbanización P.P. la Hondura (Eras las)
